level,code,type,name
3,321311,市辖区,宿豫区
3,321322,县,沭阳县
3,321323,县,泗阳县
3,321324,县,泗洪县
1,330000,省,浙江省
2,330100,地级市,杭州市
3,330102,市辖区,上城区
3,330105,市辖区,拱墅区
3,330106,市辖区,西湖区
3,330108,市辖区,滨江区
3,330109,市辖区,萧山区
3,330110,市辖区,余杭区
3,330111,市辖区,富阳区
3,330112,市辖区,临安区
3,330113,市辖区,临平区
3,330114,市辖区,钱塘区
3,330122,县,桐庐县
3,330127,县,淳安县
3,330182,县级市,建德市
2,330200,地级市,宁波市
3,330203,市辖区,海曙区
3,330205,市辖区,江北区
3,330206,市辖区,北仑区
3,330211,市辖区,镇海区
3,330212,市辖区,鄞州区
3,330213,市辖区,奉化区
3,330225,县,象山县
3,330226,县,宁海县
3,330281,县级市,余姚市
3,330282,县级市,慈溪市
2,330300,地级市,温州市
3,330302,市辖区,鹿城区
3,330303,市辖区,龙湾区
3,330304,市辖区,瓯海区
3,330305,市辖区,洞头区
3,330324,县,永嘉县
3,330326,县,平阳县
3,330327,县,苍南县
3,330328,县,文成县
3,330329,县,泰顺县
3,330381,县级市,瑞安市
3,330382,县级市,乐清市
3,330383,县级市,龙港市
2,330400,地级市,嘉兴市
3,330402,市辖区,南湖区
3,330411,市辖区,秀洲区
3,330421,县,嘉善县
3,330424,县,海盐县
3,330481,县级市,海宁市
3,330482,县级市,平湖市
3,330483,县级市,桐乡市
2,330500,地级市,湖州市
3,330502,市辖区,吴兴区
3,330503,市辖区,南浔区
3,330521,县,德清县
3,330522,县,长兴县
3,330523,县,安吉县
2,330600,地级市,绍兴市
3,330602,市辖区,越城区
3,330603,市辖区,柯桥区
3,330604,市辖区,上虞区
3,330624,县,新昌县
3,330681,县级市,诸暨市
3,330683,县级市,嵊州市
2,330700,地级市,金华市
3,330702,市辖区,婺城区
3,330703,市辖区,金东区
3,330723,县,武义县
3,330726,县,浦江县
3,330727,县,磐安县
3,330781,县级市,兰溪市
3,330782,县级市,义乌市
3,330783,县级市,东阳市
3,330784,县级市,永康市
2,330800,地级市,衢州市
3,330802,市辖区,柯城区
3,330803,市辖区,衢江区
3,330822,县,常山县
3,330824,县,开化县
3,330825,县,龙游县
3,330881,县级市,江山市
2,330900,地级市,舟山市
3,330902,市辖区,定海区
3,330903,市辖区,普陀区
3,330921,县,岱山县
3,330922,县,嵊泗县
2,331000,地级市,台州市
3,331002,市辖区,椒江区
3,331003,市辖区,黄岩区
3,331004,市辖区,路桥区
3,331022,县,三门县
