level,code,type,name,revoked
4,520204201,民族乡,龙场苗族白族彝族乡,
4,520204202,民族乡,营盘苗族彝族白族乡,
4,520204203,民族乡,顺场苗族彝族布依族乡,
4,520204204,民族乡,花戛苗族布依族彝族乡,
4,520204205,民族乡,杨梅彝族苗族回族乡,
4,520204206,民族乡,新街彝族苗族布依族乡,
4,520204207,民族乡,野钟苗族彝族布依族乡,
4,520204208,民族乡,果布戛彝族苗族布依族乡,
4,520204209,民族乡,猴场苗族布依族乡,
4,520204600,镇,滥坝镇,revoked
4,520204609,民族乡,发箐苗族彝族乡,revoked
3,520281000,县级市,盘州市,
4,520281001,街道,亦资街道,
4,520281002,街道,翰林街道,
4,520281003,街道,两河街道,
4,520281004,街道,刘官街道,
4,520281005,街道,胜境街道,
4,520281006,街道,红果街道,
4,520281111,镇,响水镇,
4,520281118,镇,民主镇,
4,520281121,镇,新民镇,
4,520281123,镇,柏果镇,
4,520281124,镇,盘关镇,
4,520281125,镇,石桥镇,
4,520281126,镇,竹海镇,
4,520281127,镇,保田镇,
4,520281128,镇,英武镇,
4,520281129,镇,大山镇,
4,520281130,镇,鸡场坪镇,
4,520281131,镇,双凤镇,
4,520281132,镇,丹霞镇,
4,520281133,镇,乌蒙镇,
4,520281201,民族乡,坪地彝族乡,
4,520281206,民族乡,羊场布依族白族苗族乡,
4,520281207,民族乡,旧营白族彝族苗族乡,
4,520281208,民族乡,保基苗族彝族乡,
4,520281209,民族乡,淤泥彝族乡,
4,520281210,民族乡,普古彝族苗族乡,
4,520281214,民族乡,普田回族乡,
2,520300000,地级市,遵义市,
3,520302000,市辖区,红花岗区,
4,520302001,街道,舟水桥街道,
4,520302002,街道,老城街道,
4,520302003,街道,万里路街道,
4,520302005,街道,延安路街道,
4,520302006,街道,中山路街道,
4,520302007,街道,迎红街道,
4,520302008,街道,中华路街道,
4,520302009,街道,长征街道,
4,520302010,街道,南关街道,
4,520302011,街道,忠庄街道,
4,520302012,街道,北京路街道,
4,520302013,街道,新蒲街道,
4,520302014,街道,新中街道,
4,520302015,街道,礼仪街道,
4,520302097,街道,南门关街道,revoked
4,520302103,镇,巷口镇,
4,520302105,镇,海龙镇,
4,520302107,镇,深溪镇,
4,520302108,镇,金鼎山镇,
4,520302109,镇,新舟镇,
4,520302110,镇,永乐镇,
4,520302111,镇,喇叭镇,
4,520302112,镇,虾子镇,
4,520302113,镇,三渡镇,
3,520303000,市辖区,汇川区,
4,520303001,街道,上海路街道,
4,520303002,街道,洗马路街道,
4,520303003,街道,大连路街道,
4,520303005,街道,董公寺街道,
4,520303006,街道,高坪街道,
4,520303007,街道,高桥街道,
4,520303102,镇,团泽镇,
4,520303104,镇,板桥镇,
4,520303105,镇,泗渡镇,
4,520303106,镇,沙湾镇,
4,520303107,镇,松林镇,
4,520303108,镇,毛石镇,
4,520303109,镇,山盆镇,
4,520303110,镇,芝麻镇,
3,520304000,市辖区,播州区,
4,520304001,街道,南白街道,
4,520304002,街道,播南街道,
4,520304003,街道,影山湖街道,
4,520304004,街道,桂花桥街道,
4,520304005,街道,龙坑街道,
4,520304102,镇,三岔镇,
4,520304103,镇,苟江镇,
4,520304104,镇,三合镇,
4,520304105,镇,乌江镇,
4,520304106,镇,龙坪镇,
4,520304107,镇,团溪镇,
4,520304108,镇,铁厂镇,
4,520304109,镇,西坪镇,
4,520304110,镇,尚嵇镇,
4,520304111,镇,茅栗镇,
4,520304112,镇,新民镇,
4,520304113,镇,鸭溪镇,
4,520304114,镇,石板镇,
4,520304115,镇,乐山镇,
4,520304116,镇,枫香镇,
4,520304117,镇,泮水镇,
4,520304118,镇,马蹄镇,
4,520304200,民族乡,平正仡佬族乡,
4,520304201,民族乡,洪关苗族乡,
3,520322000,县,桐梓县,
4,520322001,街道,娄山关街道,
4,520322002,街道,海校街道,
4,520322101,镇,楚米镇,
4,520322102,镇,新站镇,
4,520322103,镇,松坎镇,
4,520322104,镇,高桥镇,
4,520322105,镇,水坝塘镇,
4,520322106,镇,官仓镇,
4,520322107,镇,花秋镇,
4,520322108,镇,羊磴镇,
4,520322109,镇,九坝镇,
4,520322110,镇,大河镇,
4,520322111,镇,夜郎镇,
4,520322112,镇,木瓜镇,
4,520322113,镇,坡渡镇,
4,520322114,镇,燎原镇,
4,520322115,镇,狮溪镇,
4,520322116,镇,茅石镇,
4,520322117,镇,尧龙山镇,
4,520322118,镇,风水镇,
4,520322119,镇,容光镇,
4,520322120,镇,芭蕉镇,
4,520322203,乡,小水乡,
4,520322205,乡,黄莲乡,
4,520322207,民族乡,马鬃苗族乡,
3,520323000,县,绥阳县,
4,520323001,街道,洋川街道,
4,520323101,镇,郑场镇,
4,520323102,镇,旺草镇,
4,520323103,镇,蒲场镇,
4,520323104,镇,风华镇,
4,520323105,镇,茅垭镇,
4,520323106,镇,枧坝镇,
4,520323107,镇,宽阔镇,
4,520323108,镇,黄杨镇,
4,520323109,镇,青杠塘镇,
4,520323110,镇,太白镇,
4,520323111,镇,温泉镇,
4,520323112,镇,坪乐镇,
4,520323200,乡,大路槽乡,
4,520323201,乡,小关乡,
3,520324000,县,正安县,
4,520324001,街道,凤仪街道,
4,520324002,街道,瑞濠街道,
4,520324101,镇,瑞溪镇,
4,520324102,镇,和溪镇,
4,520324103,镇,安场镇,
4,520324104,镇,土坪镇,
4,520324105,镇,流渡镇,
4,520324106,镇,格林镇,
4,520324107,镇,新州镇,
4,520324108,镇,庙塘镇,
4,520324109,镇,小雅镇,
4,520324110,镇,中观镇,
4,520324111,镇,班竹镇,
4,520324112,镇,芙蓉江镇,
4,520324113,镇,碧峰镇,
4,520324114,镇,乐俭镇,
4,520324115,镇,杨兴镇,
4,520324116,镇,桴㯊镇,
4,520324202,民族乡,谢坝仡佬族苗族乡,
4,520324203,民族乡,市坪苗族仡佬族乡,
3,520325000,自治县,道真仡佬族苗族自治县,
4,520325001,街道,尹珍街道,
4,520325100,镇,玉溪镇,
4,520325101,镇,三江镇,
4,520325102,镇,隆兴镇,
4,520325103,镇,旧城镇,
4,520325104,镇,忠信镇,
4,520325105,镇,洛龙镇,
4,520325106,镇,阳溪镇,
4,520325107,镇,三桥镇,
4,520325108,镇,大磏镇,
4,520325109,镇,平模镇,
4,520325110,镇,河口镇,
4,520325200,民族乡,上坝土家族乡,
4,520325201,乡,棕坪乡,
4,520325202,乡,桃源乡,
3,520326000,自治县,务川仡佬族苗族自治县,
4,520326001,街道,都濡街道,
4,520326002,街道,丹砂街道,
4,520326003,街道,大坪街道,
4,520326101,镇,丰乐镇,
4,520326102,镇,黄都镇,
4,520326103,镇,涪洋镇,
4,520326104,镇,镇南镇,
4,520326105,镇,砚山镇,
4,520326106,镇,浞水镇,
4,520326107,镇,茅天镇,
4,520326108,镇,柏村镇,
4,520326110,镇,蕉坝镇,
4,520326111,镇,分水镇,
4,520326112,镇,泥高镇,
4,520326203,乡,红丝乡,
4,520326204,乡,石朝乡,
3,520327000,县,凤冈县,
4,520327001,街道,龙泉街道,
4,520327002,街道,何坝街道,
4,520327003,街道,凤岭街道,
4,520327004,街道,花坪街道,
4,520327101,镇,进化镇,
4,520327102,镇,琊川镇,
4,520327103,镇,蜂岩镇,
4,520327104,镇,永和镇,
4,520327106,镇,绥阳镇,
4,520327107,镇,土溪镇,
4,520327108,镇,永安镇,
4,520327109,镇,天桥镇,
4,520327111,镇,新建镇,
4,520327112,镇,王寨镇,
4,520327603,乡,石径乡,revoked
3,520328000,县,湄潭县,
4,520328004,街道,湄江街道,
4,520328005,街道,黄家坝街道,
4,520328006,街道,鱼泉街道,
4,520328101,镇,永兴镇,
4,520328102,镇,复兴镇,
4,520328103,镇,马山镇,
4,520328106,镇,高台镇,
4,520328107,镇,茅坪镇,
4,520328108,镇,兴隆镇,
4,520328109,镇,新南镇,
4,520328110,镇,石莲镇,
4,520328111,镇,抄乐镇,
4,520328112,镇,洗马镇,
4,520328113,镇,西河镇,
4,520328114,镇,天城镇,
4,520328602,街道,茶城街道,revoked
4,520328603,街道,桃花江街道,revoked
3,520329000,县,余庆县,
4,520329001,街道,子营街道,
4,520329102,镇,龙溪镇,
4,520329103,镇,构皮滩镇,
4,520329104,镇,大乌江镇,
