parent,specific,generic
130322104,泥井,镇
130322105,大蒲河,镇
130322106,新集,镇
130322107,刘台庄,镇
130322108,朱各庄,镇
130322109,荒佃庄,镇
130322110,茹荷,镇
130322201,团林,乡
130322202,葛条港,乡
130322203,马坨店,乡
130322206,两山,乡
130322207,十里铺,乡
130324100,卢龙,镇
130324101,潘庄,镇
130324102,燕河营,镇
130324103,双望,镇
130324104,刘田各庄,镇
130324105,石门,镇
130324106,木井,镇
130324107,陈官屯,镇
130324108,蛤泊,镇
130324109,印庄,镇
130324200,下寨,乡
130324201,刘家营,乡
130402001,火磨,街道
130402002,陵园路,街道
130402003,光明路,街道
130402004,滏东,街道
130402005,罗城头,街道
130402006,渚河路,街道
130402007,浴新南,街道
